,Smiles,MolWt,TPSA,nRotB,HBD,HBA,LogP,PC1,PC2,PC3,PC4,PC5,PC6,PC1_normalized,PC2_normalized,Cluster_PC1_PC2
0,C1=CC=C(C=C1)CC(=O)O,136.052429496,37.3,2.0,1.0,1.0,1.3137,-1.5556067711715786,0.6021332067133804,1.2976078182403215,0.440433568993531,-0.5167653834502365,0.17416464295600798,-0.2394292578826235,0.11252259869261898,0
1,C1=CC=C(C=C1)CC(=O)O,136.052429496,37.3,2.0,1.0,1.0,1.3137,-1.5556067711715793,0.6021332067133797,1.2976078182403212,0.44043356899353026,-0.5167653834502363,0.17416464295600734,-0.23942925788262362,0.11252259869261882,0
2,CCOC(=O)/C=C/C1=CC=CC=C1,176.083729624,26.3,3.0,0.0,2.0,2.2629,0.9315877631652362,-1.4741773574345136,-0.13796871897446472,0.1634523172218453,-0.01001748359160131,0.27130324207216,0.14338415782235245,-0.2754843369256472,1
3,CSCC=C,88.034671256,0.0,2.0,0.0,1.0,1.5354,0.6415769997526043,2.7538577602260443,-1.3593897832238455,-1.076968901397083,-0.017741776562476858,0.20513752233194335,0.09874751625671807,0.5146223927788964,0
4,CCCCCC(C)O,116.120115132,20.23,4.0,1.0,1.0,1.9475000000000002,0.09979016151785455,1.5145730421789325,1.459215168168424,-0.4066809921096386,0.3622016194255102,-0.04626218172668402,0.015359077087465159,0.283033210451856,0
5,CC1=CC(=CC=C1)O,108.057514876,20.23,0.0,1.0,1.0,1.7006199999999996,-1.125202161976665,1.9534052760974867,0.20155396431208775,0.500673597305374,0.7580158368963025,-0.12924386755661804,-0.17318407428060864,0.3650392230750852,0
6,CCCCCCCC\\C=C\\C=O,168.15141526,17.07,8.0,0.0,1.0,3.4921000000000024,3.984967888127502,-0.6201055920517401,1.643780652556253,-0.08780333942868161,-0.09539908264031255,-0.3341835363464463,0.6133413159560084,-0.11588115703225225,1
7,CC(C)CCOC(C)=O,130.099379688,26.3,3.0,0.0,2.0,1.5956000000000001,-0.09649649410163501,-0.1779507785155188,-0.470291322192967,-0.9621678687424312,-0.4937713453287882,-0.20575450778979004,-0.014852136413387415,-0.03325424310549968,2
8,COC1=C(C=CC(=C1)C=O)O,152.047344116,46.53,2.0,1.0,3.0,1.2133,-2.5121778029567134,-1.759537549494382,0.9305844365030134,-0.7666309188328373,0.38709797382993166,-0.10957193912450136,-0.3866586840439917,-0.3288105279013354,2
9,COC1=CC2=C(C=C1)C=CC(=O)O2,176.047344116,39.44,1.0,0.0,3.0,1.8015999999999996,-0.8235879534239025,-2.5973624720603072,-0.7871911942771861,-0.06093295844569486,0.08820832243762468,-0.1357234455390396,-0.12676150306342687,-0.4853776072211035,2
10,COC1=C(C=C(C=C1)CC=C)OC,178.099379688,18.46,4.0,0.0,2.0,2.4323000000000006,1.6555472326698606,-1.3070887964123945,-0.023666730069773132,-0.14729031306328552,0.2794236793467298,0.5577132103858778,0.25481146820236844,-0.24425995187529972,1
11,O=C(C1=CC=CC=C1)C,120.057514876,17.07,1.0,0.0,1.0,1.8892,0.35426733605002353,1.2648032092631862,-0.9566667718435808,0.2597837926061318,-0.2854399958430536,-0.18894974542187087,0.054526611052630555,0.2363579061149552,0
12,O1C2=CC=CC=C2C=CC1=O,146.036779432,30.21,0.0,0.0,2.0,1.793,-0.6062581405724367,-0.6340799458431038,-1.1282272046381998,0.3689846019081192,-0.06848123152132728,-0.2836490344790873,-0.09331145850775388,-0.1184925901605414,2
13,O=C1C[C@@H](CC=C1C)C(=C)C,150.104465068,17.07,1.0,0.0,1.0,2.4879000000000007,1.2005845206062944,0.37966356376798727,-0.7025697070930095,1.0933163670089876,0.15672263639694486,-0.03158242134374015,0.1847864551127137,0.07094897000824296,1
14,O1CCC(=O)C2=CC=CC=C12,148.052429496,26.3,0.0,0.0,2.0,1.6518,-0.593385806514865,-0.5002667731484383,-1.264378425707394,0.24139747798213237,-0.02728838594501249,0.08243741862578105,-0.09133022941584114,-0.09348648559259451,2
